,category,brewery,beer_name,abv,rb_name,rb_overall_rating,rb_weighted_avg,rb_ratings,rb_style,rb_style_rating
274,Western Canada,Half Pints Brewery,Black Galaxy Black IPA,6.0%,Half Pints Black Galaxy,99,3.83,58,Black IPA,99
167,Québec,Brasserie Dunham,Saison du Pinacle,6.5%,Dunham Saison du Pinacle,98,3.77,136,Saison,97
234,Ontario,Great Lakes Brewing,Octopus Wants to Fight IPA,6.2%,Great Lakes Brewery Octopus Wants to Fight IPA,98,3.77,80,India Pale Ale (IPA),98
166,Québec,Brasserie Dunham,Saison Rustique Drei,6.0%,Dunham Saison Rustique (Brett Drei),98,3.78,34,Saison,98
283,Western Canada,Lighthouse Brewing,Numbskull El Dorado Imperial IPA,9.1%,Other Half / Monkish Blowinâ?? Up the Spot,98,3.77,25,Imperial IPA,93
168,Québec,Brasserie Dunham,Viti Vini Vici Cuvee de Coussergues,5.6%,Dunham Viti Vini Vici - CuvÃ©e de Coussergues,98,3.8,12,Sour/Wild Ale,93
317,International,Lindemann's,Cuvee Rene Kriek,4.5%,Lindemans Kriek CuvÃ©e RenÃ©,97,3.75,572,Lambic Style - Fruit,75
253,Western Canada,Central City,Red Racer IPA,6.5%,Central City Red Racer IPA,97,3.75,551,India Pale Ale (IPA),98
173,Québec,Trois Mousquetaires,Oud Bruin,7.8%,Les Trois Mousquetaires Hors SÃ©rie Oud Bruin,97,3.71,92,Sour Red/Brown,85
176,Québec,Trois Mousquetaires,Barleywine Americain Edition Speciale,11.8%,Les Trois Mousquetaires G.C. Barleywine AmÃ©ricain,96,3.69,115,Barley Wine,87
212,Ontario,Beau's All Natural,Full Time IPA,6.7%,Beauâ??s Full Time IPA,96,3.7,57,India Pale Ale (IPA),96
287,Western Canada,Parallel 49 Brewing,Bodhisattva Dry-hop Sour,7.0%,Parallel 49 Bodhisattva,96,3.67,42,Sour/Wild Ale,82
178,Québec,Trou du Diable,Les 4 Surfeurs de l'Apocalypso,6.5%,Le Trou du Diable Apocalypso,95,3.67,196,India Pale Ale (IPA),95
172,Québec,Dieu de Ciel!,Derniere Volonte Brett,7.0%,Dieu du Ciel DerniÃ¨re VolontÃ© Brettanomyces,94,3.63,85,Sour/Wild Ale,71
305,International,Brasserie Dupont,Cervesia,6.0%,Dupont Cervesia,93,3.59,398,Traditional Ale,98
184,Ireland,Carlow Brewing,Leann Follain,6.0%,Carlow Oâ??Haraâ??s Leann FollÃ¡in,92,3.59,353,Dry Stout,98
122,Atlantic,Railcar Brewing,Citrus Juice IPA,4.0%,Northern Monk Patrons Projects 4.02 Pineapple and Grapefruit Juice IPA,92,3.58,41,India Pale Ale (IPA),89
207,Ontario,Amsterdam Brewery,Boneshaker IPA,7.1%,Amsterdam Boneshaker IPA,91,3.56,234,India Pale Ale (IPA),86
246,Ontario,Sawdust City,The Princess Wears Girlpants,9.0%,Sawdust City The Princess Wears Girlpants,91,3.55,68,Imperial IPA,55
175,Québec,Trois Mousquetaires,Sticke Alt,6.0%,Les Trois Mousquetaires S.S. Sticke Alt,90,3.55,252,Altbier,98
197,Ireland,The White Hag,The Puca Hisibcus & Ginger,5.5%,White Hag The PÃ¹ca Berry Hibiscus & Ginger,90,3.54,15,Sour/Wild Ale,50
327,USA,Lone Pine Brewery,Tessellation DIPA,8.1%,Lone Pine Tessellation,90,3.54,10,Imperial IPA,52
174,Québec,Trois Mousquetaires,Gose,3.8%,Les Trois Mousquetaires Hors SÃ©rie Gose,89,3.53,249,Grodziskie/Gose/Lichtenhainer,89
194,Ireland,The White Hag,Bran & Sceolan IPA,7.2%,White Hag Bran & Sceolan,89,3.53,77,India Pale Ale (IPA),82
218,Ontario,Big Rig Brewing,Alpha Bomb IPA,6.6%,Big Rig Alpha Bomb IPA,89,3.53,28,India Pale Ale (IPA),83
233,Ontario,Great Lakes Brewing,Crazy Canuck Pale,5.2%,Great Lakes Brewery Canuck Pale Ale,88,3.51,216,American Pale Ale,92
332,USA,Rising Tide Brewery,Maine Is. Trail Ale,4.3%,Rising Tide Maine Island Trail Ale,88,3.52,71,American Pale Ale,92
239,Ontario,Mill St,Tankhouse Ale,5.0%,Mill Street Tankhouse Ale,87,3.5,497,American Pale Ale,90
243,Ontario,Muskoka Cottage Brewery,Detour Session Ale,4.3%,Muskoka Detour Session IPA,87,3.49,187,Session IPA,88
199,Ireland,Trouble Brewing,Dark Arts Porter,4.4%,Trouble Brewing Dark Arts Porter,86,3.47,81,Porter,84
150,Atlantic,Two Crows Brewing,Pollyanna Wild Northeast IPA,7.3%,2 Crows Pollyanna,86,3.48,13,India Pale Ale (IPA),74
290,Western Canada,Phillips Brewing,Hop Circle IPA,6.5%,Phillips Hop Circle IPA (formerly Phillips IPA),85,3.47,202,India Pale Ale (IPA),73
323,USA,Baxter Brewing,Stowaway IPA,6.9%,Baxter Stowaway IPA,85,3.48,195,India Pale Ale (IPA),73
273,Western Canada,Half Pints Brewery,Little Scrapper IPA,6.0%,Half Pints Little Scrapper IPA,85,3.45,153,India Pale Ale (IPA),71
232,Ontario,Great Lakes Brewing,Sunnyside Session IPA,3.9%,Great Lakes Brewery Sunnyside Session IPA,85,3.47,57,Session IPA,85
229,Ontario,Flying Monkeys Brewery,Juicy Ass IPA,6.5%,Flying Monkeys Juicy Ass IPA,85,3.48,39,India Pale Ale (IPA),73
126,Atlantic,Saltbox Brewing,Nun on the Run Cream,5.3%,Marble Tawny No 3,85,3.33,26,Premium Bitter/ESB,94
210,Ontario,Amsterdam Brewery,Cruiser All Day Pale Ale,4.9%,Amsterdam Cruiser All Day Pale Ale,84,3.46,84,American Pale Ale,87
169,Québec,Dieu de Ciel!,Rosée d'Hibiscus,5.9%,Dieu du Ciel RosÃ©e dâ??Hibiscus,83,3.45,914,Spice/Herb/Vegetable,94
202,Ireland,Trouble Brewing,Graffiti Session Pale,3.6%,Trouble Brewing Graffiti,83,3.45,23,Session IPA,81
171,Québec,Dieu de Ciel!,Tamarindo Gose,4.9%,Dieu du Ciel Tamarindo Gose,82,3.43,41,Grodziskie/Gose/Lichtenhainer,70
254,Western Canada,Central City,Red Racer ISA,4.0%,Central City Red Racer ISA,81,3.43,153,Session IPA,76
328,USA,Lone Pine Brewery,Crush Puppy IPA,4.2%,Thirsty Bear Howard Street IPA,81,3.42,101,India Pale Ale (IPA),62
245,Ontario,Sawdust City,Golden Beach Session IPA,4.5%,Sawdust City Golden Beach Pale Ale,81,3.43,72,American Pale Ale,83
117,Atlantic,Pumphouse  Brewery,Muddy River Stout,4.5%,Pump House Muddy River Stout,81,3.39,34,Stout,73
217,Ontario,Big Rig Brewing,Release the Hounds Black IPA,6.2%,Big Rig Release the Hounds,80,3.42,92,Black IPA,45
82,Atlantic,Loyalist City Brewing,Peach Giant Berliner Weisse,4.5%,Smuttynose Peach Short Weisse,77,3.39,32,Berliner Weisse,51
240,Ontario,Mill St,Cobblestone Stout,5.9%,Mill Street Cobblestone Stout,76,3.38,244,Dry Stout,87
337,USA,Sebago Brewing,Simmer Down Session,4.9%,Sebago Simmer Down,76,3.38,33,Session IPA,64
98,Atlantic,Nine Locks Brewing,IPA,6.9%,Nine Locks IPA,76,3.38,16,India Pale Ale (IPA),51
284,Western Canada,Parallel 49 Brewing,Jerkface 9000 Wheat Ale,5.0%,Parallel 49 Jerkface 9000,75,3.38,66,Wheat Ale,93
334,USA,Rising Tide Brewery,Ishmael,4.9%,Rising Tide Ishmael,75,3.38,61,Altbier,93
