,category,brewery,beer_name,abv,rb_name,rb_overall_rating,rb_weighted_avg,rb_ratings,rb_style,rb_style_rating
19,Cider,Craigies,Cider ,5.8%,Craigies Irish Cider (Ballyhook Flyer),73,3.35,21,Cider,92
10,Cider,Bulwark Cider,Original,5.8%,Bulwark Original Traditional Cider,72,3.34,19,Cider,92
22,Cider,Finnbarra Cider,Medium-Dry,5.5%,Stonewell Medium Dry Irish Craft Cider,65,3.29,27,Cider,88
41,Cider,Urban Farm Fermentory,Dry Cider,6.5%,Urban Farm Dry Cidah,57,3.24,19,Cider,83
20,Cider,Double Trouble Brewing,Grow a Pair Pear Cider,4.8%,Double Trouble Grow A Pear,55,3.25,13,Perry,93
8,Cider,Brickworks Cider,Batch 1904 ,5.0%,Brickworks Batch 1904,52,3.22,27,Cider,79
35,Cider,Tempted Cider,Sweet Cider,5.0%,Tempted Irish Craft Cider Sweet,48,3.17,13,Cider,73
36,Cider,Tempted Cider,Medium Dry Cider,5.7%,Tempted? Irish Craft Cider Medium Dry,48,3.18,10,Cider,72
23,Cider,Finnbarra Cider,Dry,5.5%,Stonewell Dry Irish Craft Cider,44,3.11,20,Cider,60
5,Cider,Andrew Peller,No Boats on Sunday,5.8%,Peller Estates No Boats On Sunday,38,3.03,12,Cider,48
25,Cider,Finnbarra Cider,Stonewell Ros,5.0%,Brewpub København Rosé Cider,30,2.93,10,Cider,40
16,Cider,Chainyard Cider,Hopped Up,6.0%,Blue Blood All Hopped Up,26,2.88,24,India Pale Ale (IPA),5
13,Cider,Carlsberg,Somersby Blackberry,4.5%,Somersby Blackberry,19,2.78,10,Cider,26
38,Cider,Thornbury Brewing,Craft Apple Cider,5.3%,Thornbury Premium Apple Cider,17,2.66,28,Cider,21
12,Cider,Carlsberg,Somersby Apple,4.5%,Somersby Apple Cider,6,2.25,251,Cider,5
27,Cider,O Haras,Falling Apple ,5.0%,Carlow Falling Apple,,2.74,8,Cider,
11,Cider,Bulwark Cider,Raspberry,7.5%,Bulwark Blush Traditional Craft Cider,,2.98,6,Cider,
24,Cider,Finnbarra Cider,Tobairin,2.0%,Stonewell Tobairín,,2.91,6,Cider,
34,Cider,Royal Unibrew,Tempt 9,4.5%,Tempt No 9,,2.68,6,Cider,
37,Cider,Tempted Cider,Dry Cider,5.7%,Tempted? Irish Craft Cider Dry,,3.11,6,Cider,
9,Cider,Brickworks Cider,Stadium Island Peach,4.5%,Brickworks Stadium Island Peach,,3.2,5,Cider,
28,Cider,Petite Riviere Vinyards,Stutz Cider,5.5%,Stutz Premium Craft Cider,,2.74,5,Cider,
31,Cider,Petite Riviere Vinyards,Ship Builders Cider,6.0%,Shipbuilders Cider,,2.68,5,Cider,
21,Cider,Elderkin Cider,Traditional Hard,6.5%,Elderkin�??s Apple Cider,,2.94,4,Cider,
29,Cider,Petite Riviere Vinyards,Sid's Cider,6.5%,Kennebec Cider Traditional Hard Cider,,2.99,4,Cider,
14,Cider,Carlsberg,Somersby Rhubarb,4.5%,Somersby Strawberry & Rhubarb,,2.56,2,Cider,
39,Cider,Urban Farm Fermentory,Bluebery Cider,6.0%,Urban Farm Blueberry Cider,,3.16,2,Cider,
15,Cider,Chainyard Cider,Foundation Cider,6.3%,Forbidden Kiwifruit Cider,,2.98,1,Cider,
40,Cider,Urban Farm Fermentory,Sidrah Sour Cider,5.5%,Urban Farm Sidrah,,3.0,1,Cider,
32,Cider,Red Rover Cider,Summer Cider,7.0%,Red Rover Summer Cider,,,0,Cider,
33,Cider,Red Rover Cider,Blood Moon Cider,7.0%,Red Rover Blood Moon,,,0,Cider,
6,Cider,Big Hand Brewing Co.,Scotts Irish Dry Cider,5.6%,,,,,,
7,Cider,Big Hand Brewing Co.,Scotts Irish Med Dry Cider,4.5%,,,,,,
17,Cider,Coastliner Craft Cider,Maritime Original,5.4%,,,,,,
18,Cider,Coastliner Craft Cider,Castaway,5.4%,,,,,,
26,Cider,Finnbarra Cider,Esterre Premium,4.3%,,,,,,
30,Cider,Petite Riviere Vinyards,Sid's Strawberry Rhubarb Cider,8.5%,,,,,,
